,Unnamed: 0.1,FlightNum,Origin,Dest,DepTime1,ArrTime1
61710,61710,5728,SFO,CEC,2008-01-22 17:09:00,2008-01-22 18:29:00
61711,61711,5729,RDM,SFO,2008-01-22 13:44:00,2008-01-22 15:34:00
61712,61712,5731,GEG,SEA,2008-01-22 13:28:00,2008-01-22 14:29:00
61713,61713,5734,YUM,LAX,2008-01-22 11:10:00,2008-01-22 11:28:00
61714,61714,5737,CIC,SFO,2008-01-22 13:46:00,2008-01-22 14:52:00
61715,61715,5737,SFO,CIC,2008-01-22 10:39:00,2008-01-22 11:37:00
61716,61716,5738,SFO,RDM,2008-01-22 21:37:00,2008-01-22 23:38:00
61717,61717,5739,RDM,SFO,2008-01-22 07:29:00,2008-01-22 09:45:00
61718,61718,5741,MOD,SFO,2008-01-22 13:29:00,2008-01-22 14:03:00
61719,61719,5742,CLD,LAX,2008-01-22 11:06:00,2008-01-22 11:54:00
61720,61720,5742,LAX,CLD,2008-01-22 10:14:00,2008-01-22 10:51:00
61721,61721,5744,CLD,LAX,2008-01-22 13:02:00,2008-01-22 13:41:00
61722,61722,5744,LAX,CLD,2008-01-22 12:08:00,2008-01-22 12:54:00
61723,61723,5746,LAX,CLD,2008-01-22 07:50:00,2008-01-22 08:33:00
61724,61724,5747,MOD,SFO,2008-01-22 08:25:00,2008-01-22 09:14:00
61725,61725,5748,CLD,LAX,2008-01-22 19:55:00,2008-01-22 20:43:00
61726,61726,5748,LAX,CLD,2008-01-22 18:56:00,2008-01-22 19:43:00
61727,61727,5752,CLD,LAX,2008-01-22 15:32:00,2008-01-22 16:11:00
61728,61728,5756,CIC,SFO,2008-01-22 16:01:00,2008-01-22 17:17:00
61729,61729,5756,SFO,CIC,2008-01-22 14:51:00,2008-01-22 15:41:00
61730,61730,5759,MOD,LAX,2008-01-22 06:12:00,2008-01-22 07:36:00
61731,61731,5765,SEA,PDX,2008-01-22 09:03:00,2008-01-22 09:57:00
61732,61732,5768,PDX,RDM,2008-01-22 20:29:00,2008-01-22 21:27:00
61733,61733,5780,IPL,LAX,2008-01-22 06:20:00,2008-01-22 07:35:00
61734,61734,5781,SMF,ACV,2008-01-22 07:05:00,2008-01-22 08:07:00
61735,61735,5784,PDX,SEA,2008-01-22 07:57:00,2008-01-22 08:53:00
