,Unnamed: 0.1,FlightNum,Origin,Dest,DepTime1,ArrTime1
30855,30855,117,ONT,COS,2008-01-07 09:26:00,2008-01-07 12:31:00
30856,30856,117,ONT,COS,2008-01-08 09:26:00,2008-01-08 12:30:00
30857,30857,117,ONT,COS,2008-01-11 09:27:00,2008-01-11 12:33:00
30858,30858,117,ONT,COS,2008-01-12 12:25:00,2008-01-12 15:29:00
30859,30859,117,ONT,COS,2008-01-13 09:22:00,2008-01-13 12:32:00
30860,30860,117,ONT,COS,2008-01-17 09:35:00,2008-01-17 12:59:00
30861,30861,117,ONT,COS,2008-01-18 09:38:00,2008-01-18 12:48:00
30862,30862,117,ONT,COS,2008-01-21 09:28:00,2008-01-21 12:28:00
30863,30863,117,ONT,COS,2008-01-23 10:01:00,2008-01-23 12:58:00
30864,30864,117,ONT,COS,2008-01-24 09:27:00,2008-01-24 12:29:00
30865,30865,117,ONT,COS,2008-01-25 09:29:00,2008-01-25 12:32:00
30866,30866,117,ONT,COS,2008-01-26 09:23:00,2008-01-26 12:26:00
30867,30867,117,ONT,COS,2008-01-28 09:53:00,2008-01-28 12:45:00
30868,30868,118,ELP,TUS,2008-01-02 17:05:00,2008-01-02 18:04:00
30869,30869,118,ELP,TUS,2008-01-04 18:21:00,2008-01-04 19:28:00
30870,30870,118,ELP,TUS,2008-01-05 18:15:00,2008-01-05 19:17:00
30871,30871,118,ELP,TUS,2008-01-06 16:59:00,2008-01-06 18:26:00
30872,30872,118,ELP,TUS,2008-01-07 19:17:00,2008-01-07 20:19:00
30873,30873,118,ELP,TUS,2008-01-10 16:36:00,2008-01-10 17:39:00
30874,30874,118,ELP,TUS,2008-01-17 18:06:00,2008-01-17 19:06:00
30875,30875,118,ELP,TUS,2008-01-29 16:57:00,2008-01-29 18:02:00
30876,30876,118,TUS,ONT,2008-01-02 18:34:00,2008-01-02 18:58:00
30877,30877,118,TUS,ONT,2008-01-03 18:31:00,2008-01-03 19:07:00
30878,30878,118,TUS,ONT,2008-01-04 19:44:00,2008-01-04 20:16:00
30879,30879,118,TUS,ONT,2008-01-05 19:31:00,2008-01-05 19:49:00
30880,30880,118,TUS,ONT,2008-01-06 18:50:00,2008-01-06 19:12:00
30881,30881,118,TUS,ONT,2008-01-07 20:38:00,2008-01-07 20:56:00
30882,30882,118,TUS,ONT,2008-01-17 19:38:00,2008-01-17 20:04:00
30883,30883,118,TUS,ONT,2008-01-25 19:28:00,2008-01-25 19:46:00
30884,30884,118,TUS,ONT,2008-01-29 18:20:00,2008-01-29 18:42:00
30885,30885,119,ONT,TUS,2008-01-01 08:08:00,2008-01-01 10:17:00
30886,30886,119,ONT,TUS,2008-01-08 08:10:00,2008-01-08 10:23:00
30887,30887,119,ONT,TUS,2008-01-20 07:50:00,2008-01-20 10:03:00
30888,30888,119,TUS,ELP,2008-01-01 10:36:00,2008-01-01 11:30:00
30889,30889,119,TUS,ELP,2008-01-03 09:52:00,2008-01-03 10:51:00
